역대 박스오피스 검색 리스트 (통합전산망 집계 기준),,,,,,,,,
,,,,,,,,,
순위,영화명,개봉일,매출액,관객수,스크린수,상영횟수,대표국적,국적,배급사
1,명량,2014-07-30,"135,753,884,310","17,615,166","1,587","188,666",한국,한국,씨제이이앤엠(주)
2,신과함께-죄와 벌,2017-12-20,"115,699,634,137","14,410,931","1,912","213,258",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
3,국제시장,2014-12-17,"110,937,282,730","14,262,766","1,044","212,680",한국,한국,씨제이이앤엠(주)
4,베테랑,2015-08-05,"105,169,264,250","13,414,200","1,115","199,240",한국,한국,씨제이이앤엠(주)
5,아바타,2009-12-17,"124,901,536,500","13,302,997",917,"162,508",미국,미국,"주식회사 해리슨앤컴퍼니,이십세기폭스코리아(주)"
6,도둑들,2012-07-25,"93,667,250,500","12,983,841","1,091","155,409",한국,"한국,홍콩",(주)쇼박스
7,7번방의 선물,2013-01-23,"91,433,282,670","12,811,435",866,"166,819",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
8,암살,2015-07-22,"98,466,287,781","12,706,483","1,519","175,211",한국,한국,(주)쇼박스
9,"광해, 왕이 된 남자",2012-09-13,"88,909,386,769","12,323,595","1,001","203,447",한국,한국,씨제이이앤엠(주)
10,택시운전사,2017-08-02,"95,856,372,649","12,186,765","1,906","184,126",한국,한국,(주)쇼박스
11,부산행,2016-07-20,"93,182,579,048","11,566,862","1,788","151,350",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
12,변호인,2013-12-18,"82,872,378,788","11,374,879",925,"152,279",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
13,해운대,2009-07-22,"81,025,841,000","11,324,561",764,"154,281",한국,한국,씨제이엔터테인먼트
14,괴물,2006-07-27,"66,716,104,300","10,917,221",647,"113,101",한국,한국,(주)쇼박스
15,왕의 남자,2005-12-29,"66,015,436,400","10,513,715",313,"111,176",한국,한국,(주)시네마서비스
16,어벤져스: 에이지 오브 울트론,2015-04-23,"88,582,586,366","10,494,499","1,843","191,778",미국,미국,월트디즈니컴퍼니코리아(주)
17,어벤져스: 인피니티 워,2018-04-25,"92,728,617,201","10,385,578","2,553","212,130",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
18,인터스텔라,2014-11-06,"82,669,061,000","10,309,432","1,410","169,432",미국,"미국,영국",워너브러더스 코리아(주)
19,겨울왕국,2014-01-16,"82,461,504,400","10,296,101","1,010","157,683",미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
20,검사외전,2016-02-03,"77,320,403,264","9,707,581","1,812","153,532",한국,한국,(주)쇼박스
21,설국열차,2013-08-01,"67,012,453,200","9,350,351","1,128","124,864",한국,한국,씨제이이앤엠(주)
22,관상,2013-09-11,"66,009,826,500","9,135,806","1,240","125,107",한국,한국,(주)쇼박스
23,아이언맨 3,2013-04-25,"70,806,364,000","9,001,331","1,389","163,584",미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
24,캡틴 아메리카: 시빌 워,2016-04-27,"72,672,111,827","8,677,249","1,991","161,696",미국,미국,월트디즈니컴퍼니코리아(주)
25,해적: 바다로 간 산적,2014-08-06,"66,372,140,706","8,666,208",910,"133,354",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
26,수상한 그녀,2014-01-22,"62,715,946,849","8,659,725","1,027","136,993",한국,한국,씨제이이앤엠(주)
27,과속스캔들,2008-12-03,"53,801,341,400","8,223,342",408,"145,556",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
28,국가대표,2009-07-29,"57,570,773,000","8,035,181",570,"131,671",한국,한국,(주)쇼박스
29,디워,2007-08-01,"49,340,084,700","7,855,474",622,"96,439",한국,한국,(주)쇼박스
30,공조,2017-01-18,"63,783,138,326","7,817,631","1,392","142,989",한국,한국,씨제이이앤엠(주)
31,트랜스포머 3,2011-06-29,"74,842,906,588","7,785,189","1,409","124,464",미국,미국,씨제이이앤엠(주)
32,히말라야,2015-12-16,"60,175,363,015","7,759,761","1,095","142,715",한국,한국,씨제이이앤엠(주)
33,미션임파서블:고스트프로토콜,2011-12-15,"57,302,548,500","7,508,976","1,024","114,771",미국,미국,씨제이이앤엠(주)
34,밀정,2016-09-07,"61,270,079,831","7,500,457","1,444","138,162",한국,한국,워너브러더스 코리아(주)
35,최종병기 활,2011-08-10,"55,827,861,500","7,470,633",615,"130,054",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
36,트랜스포머,2007-06-28,"47,710,604,338","7,402,732",863,"92,704",미국,미국,씨제이엔터테인먼트
37,트랜스포머: 패자의 역습,2009-06-24,"50,699,866,000","7,393,443","1,154","115,150",미국,미국,씨제이엔터테인먼트
38,써니,2011-05-04,"54,038,534,700","7,363,139",546,"149,154",한국,한국,씨제이이앤엠(주)
39,스파이더맨: 홈 커밍,2017-07-05,"59,125,813,820","7,258,678","1,965","164,448",미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
40,1987,2017-12-27,"58,166,310,145","7,231,770","1,299","138,217",한국,한국,씨제이이앤엠(주)
41,베를린,2013-01-30,"52,357,124,637","7,166,532",894,"111,759",한국,한국,씨제이이앤엠(주)
42,마스터,2016-12-21,"58,051,681,265","7,147,924","1,501","126,862",한국,한국,씨제이이앤엠(주)
43,터널,2016-08-10,"57,530,028,417","7,120,780","1,105","113,214",한국,한국,(주)쇼박스
44,어벤져스,2012-04-26,"59,558,111,478","7,074,891",967,"109,701",미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
45,내부자들,2015-11-19,"56,599,221,057","7,072,507","1,129","152,636",한국,한국,(주)쇼박스
46,인천상륙작전,2016-07-27,"55,105,606,303","7,050,475","1,049","97,032",한국,한국,씨제이이앤엠(주)
47,럭키,2016-10-13,"56,445,023,256","6,975,571","1,234","155,990",한국,한국,(주)쇼박스
48,은밀하게 위대하게,2013-06-05,"48,700,887,413","6,959,083","1,341","117,462",한국,한국,(주)쇼박스
49,범죄도시,2017-10-03,"56,322,098,349","6,880,535","1,315","149,383",한국,한국,"메가박스(주)플러스엠,(주)키위미디어그룹"
50,곡성,2016-05-12,"55,864,308,382","6,879,989","1,485","130,332",한국,한국,이십세기폭스코리아(주)
51,화려한 휴가,2007-07-25,"44,098,824,600","6,855,433",551,"96,536",한국,한국,씨제이엔터테인먼트
52,"좋은 놈, 나쁜 놈, 이상한 놈",2008-07-17,"43,755,789,000","6,686,054",824,"93,584",한국,한국,씨제이엔터테인먼트
53,늑대소년,2012-10-31,"46,594,814,400","6,655,068",854,"109,166",한국,한국,씨제이이앤엠(주)
54,군함도,2017-07-26,"50,510,565,168","6,592,151","2,027","108,775",한국,한국,씨제이이앤엠(주)
55,웰컴 투 동막골,2005-08-04,"40,329,355,500","6,436,900",356,"72,129",한국,한국,(주)쇼박스
56,다크 나이트 라이즈,2012-07-19,"47,675,463,500","6,399,303","1,210","81,273",미국,"미국,영국",워너브러더스 코리아(주)
57,사도,2015-09-16,"48,846,045,501","6,247,651","1,210","124,264",한국,한국,(주)쇼박스
58,아저씨,2010-08-04,"47,103,765,000","6,178,617",501,"109,888",한국,한국,씨제이엔터테인먼트
59,킹스맨 : 시크릿 에이전트,2015-02-11,"50,369,009,795","6,129,681",728,"139,988",미국,"미국,영국",이십세기폭스코리아(주)
60,미션 임파서블: 로그네이션,2015-07-30,"48,547,353,607","6,126,488","1,202","89,683",미국,미국,롯데쇼핑㈜롯데엔터테인먼트
61,미녀는 괴로워,2006-12-14,"36,292,848,900","6,081,480",418,"87,141",한국,한국,(주)쇼박스
62,전우치,2009-12-23,"44,093,407,200","6,065,474",612,"102,357",한국,한국,씨제이엔터테인먼트
63,연평해전,2015-06-24,"45,567,290,830","6,044,956","1,013","114,487",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
64,레미제라블,2012-12-19,"43,090,556,000","5,920,977",696,"82,615",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
65,인셉션,2010-07-21,"43,481,471,000","5,835,017",531,"81,909",미국,미국,워너브러더스 코리아(주)
66,타짜,2006-09-28,"36,182,617,500","5,685,715",492,"76,887",한국,한국,씨제이엔터테인먼트
67,청년경찰,2017-08-09,"44,381,150,516","5,653,270","1,102","118,545",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
68,숨바꼭질,2013-08-14,"39,602,995,500","5,604,106",779,"88,066",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
69,덕혜옹주,2016-08-03,"44,395,967,609","5,599,665",964,"97,323",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
70,더 테러 라이브,2013-07-31,"39,869,706,381","5,584,139",809,"93,488",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
71,쥬라기 월드,2015-06-11,"47,800,698,826","5,546,792","1,290","118,959",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
72,감시자들,2013-07-03,"39,382,418,179","5,508,299",949,"100,310",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
73,닥터 스트레인지,2016-10-26,"47,482,530,396","5,446,379","1,503","162,863",미국,미국,월트디즈니컴퍼니코리아(주)
74,검은 사제들,2015-11-05,"42,410,940,592","5,443,049","1,109","131,178",한국,한국,씨제이이앤엠(주)
75,의형제,2010-02-04,"40,153,817,000","5,416,829",569,"118,250",한국,한국,(주)쇼박스
76,블랙 팬서,2018-02-14,"45,883,159,457","5,399,021","1,620","119,194",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
77,2012,2009-11-12,"38,941,723,000","5,397,597",856,"89,309",미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
78,더 킹,2017-01-18,"43,487,099,535","5,317,383","1,310","107,978",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
